MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,Target,LeadTime,Fold
0.41212746220381485,0.4809337494036447,0.11956795910257963,0.23913591820515925,0.6770833333333334,1.373842853516647,0.8139880952380952,1.6303385008712765,0.9047619047619048,1.8823177867917071,Bootstrap,swh,48h,6
0.09551457661641742,0.13069474650700535,0.030221319792302845,0.06044263958460569,0.8118279569892473,0.2958540928404698,0.8938172043010753,0.3994884534357457,0.9395161290322581,0.5326070014976327,Bootstrap,mwp,1h,1
0.08879840767789987,0.1302815565017895,0.028212618237756573,0.056425236475513146,0.8244047619047619,0.27952154510593985,0.9270833333333334,0.4115958625039102,0.9702380952380952,0.5672760953795581,Bootstrap,mwp,1h,2
0.09322190089446043,0.14169879937098454,0.03164525723470854,0.06329051446941708,0.7795698924731183,0.26054633838747243,0.8346774193548387,0.35030559557286267,0.8924731182795699,0.46234084082413496,Bootstrap,mwp,1h,3
0.07212101007755614,0.10260321081544962,0.023510588491129532,0.047021176982259064,0.8569444444444444,0.2782672185396615,0.95,0.45195843714233774,0.9861111111111112,0.5848666015487574,Bootstrap,mwp,1h,4
0.07299343465382921,0.100813044256847,0.02300351655983555,0.0460070331196711,0.8306451612903226,0.23213157021114483,0.9153225806451613,0.3434299635639544,0.9543010752688172,0.4323407128050434,Bootstrap,mwp,1h,5
0.07300329346762555,0.1021525280285308,0.023513368176140526,0.04702673635228105,0.7593880389429764,0.217220460569612,0.8929068150208623,0.30969240542749615,0.9485396383866481,0.4174565516839186,Bootstrap,mwp,1h,6
0.27797846847243474,0.38396258043426346,0.08915617059529718,0.17831234119059436,0.7903225806451613,0.8170015002912193,0.885752688172043,1.1596942068738478,0.9153225806451613,1.4415952051591603,Bootstrap,mwp,3h,1
0.26997545137537343,0.37910668771859174,0.08516711823475598,0.17033423646951196,0.7901785714285714,0.8328168129343432,0.9285714285714286,1.229608665917116,0.9717261904761905,1.6137802889389385,Bootstrap,mwp,3h,2
0.27883516620754556,0.4112984227272155,0.0933080517287126,0.1866161034574252,0.7836021505376344,0.8311879726247611,0.8373655913978495,1.0720295102527435,0.8884408602150538,1.3604494546942612,Bootstrap,mwp,3h,3
0.21075224266992043,0.2858430981826554,0.06719302353393941,0.13438604706787882,0.8902777777777777,0.8760426508923587,0.9513888888888888,1.2369477345629776,0.9888888888888889,1.7173589614188447,Bootstrap,mwp,3h,4
0.19671671856737802,0.27393277023177587,0.06223896866204222,0.12447793732408444,0.8279569892473119,0.622782308941611,0.9166666666666666,0.9732141992663994,0.9596774193548387,1.1842807957461468,Bootstrap,mwp,3h,5
0.17778042930506485,0.22854856955689754,0.05485705215366094,0.10971410430732188,0.7907949790794979,0.5746251649568244,0.9470013947001394,0.8888811940363439,0.9874476987447699,1.2287058533536488,Bootstrap,mwp,3h,6
0.5220268749139776,0.6920713499208855,0.16282362978239406,0.3256472595647881,0.7446236559139785,1.4306667583891899,0.864247311827957,2.0242271188856824,0.9220430107526881,2.505702883048808,Bootstrap,mwp,6h,1
0.5177954125595049,0.6950349874508536,0.1611522956186857,0.3223045912373714,0.7678571428571429,1.5878165478316077,0.9032738095238095,2.220529705040608,0.9598214285714286,2.8981046247221784,Bootstrap,mwp,6h,2
0.5248631019613109,0.7256393323726856,0.1689495814704603,0.3378991629409206,0.7661290322580645,1.5439112336914513,0.8508064516129032,2.059337901550863,0.9126344086021505,2.577358161507565,Bootstrap,mwp,6h,3
0.4093355206507386,0.5394562910027908,0.1290329945196795,0.258065989039359,0.8930555555555556,1.7730818645250281,0.9680555555555556,2.453694298208298,0.9833333333333333,3.156490432668013,Bootstrap,mwp,6h,4
0.3577175047528652,0.49576145567311153,0.11537963532757657,0.23075927065515314,0.8387096774193549,1.2575040820196655,0.9206989247311828,1.9391542286069468,0.9489247311827957,2.308421784501934,Bootstrap,mwp,6h,5
0.32174000889916227,0.41026468812663885,0.09862916299320189,0.19725832598640378,0.7913165266106442,1.0195682667150372,0.9313725490196079,1.5032060717091582,0.9929971988795518,2.301280183137458,Bootstrap,mwp,6h,6
0.7994440380235049,1.0854644249164587,0.25215728738614324,0.5043145747722865,0.7970430107526881,2.5920255613731316,0.8790322580645161,3.3876778080034664,0.9448924731182796,4.352255931580431,Bootstrap,mwp,12h,1
0.8144454666234987,1.099212423883871,0.25335941371174775,0.5067188274234955,0.7708333333333334,2.4796229747602596,0.9092261904761905,3.4027033373893336,0.9627976190476191,4.421954723980683,Bootstrap,mwp,12h,2
0.86495374962935,1.1577190577858816,0.27443564796068726,0.5488712959213745,0.7553763440860215,2.6411276954818574,0.8440860215053764,3.458256239346042,0.918010752688172,4.461343032282982,Bootstrap,mwp,12h,3
0.6965864956485378,0.895932437975637,0.21617769580455187,0.43235539160910375,0.8930555555555556,2.9661155686424787,0.9597222222222223,3.9636893241785174,0.9916666666666667,4.70545282354911,Bootstrap,mwp,12h,4
0.5973089032303011,0.8176867113150071,0.19400440530976035,0.3880088106195207,0.793010752688172,2.0313328873293446,0.8938172043010753,2.8538038132709636,0.9233870967741935,3.665937725260289,Bootstrap,mwp,12h,5
0.537736508694951,0.691301616556721,0.16586818696981592,0.33173637393963185,0.8305084745762712,1.8954991393031975,0.96045197740113,2.858655131818373,0.998587570621469,3.687792188719619,Bootstrap,mwp,12h,6
1.075854796235405,1.345619169229047,0.3234090314473757,0.6468180628947514,0.8508064516129032,3.7481817760134244,0.9301075268817204,5.207368855986444,0.9583333333333334,6.301496332852955,Bootstrap,mwp,24h,1
1.0837907056083649,1.3915189030556825,0.32761740606706646,0.6552348121341329,0.7872023809523809,3.1201403791251687,0.9017857142857143,4.409124787868861,0.9523809523809523,5.862365400802794,Bootstrap,mwp,24h,2
1.1346145619570749,1.5017195292747543,0.3591317753304037,0.7182635506608074,0.7083333333333334,3.1037911993545397,0.8239247311827957,4.317420709658452,0.946236559139785,5.810990620898335,Bootstrap,mwp,24h,3
1.142379106825018,1.4256103780389244,0.34340422155167977,0.6868084431033595,0.8111111111111111,3.997365568218888,0.9097222222222222,5.127792208862743,0.9763888888888889,5.826009964400707,Bootstrap,mwp,24h,4
0.909087957232027,1.1623761078346972,0.2826839434116059,0.5653678868232118,0.8198924731182796,3.6043069289721656,0.9099462365591398,4.718659857083725,0.9247311827956989,5.181614391412779,Bootstrap,mwp,24h,5
