MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,Target,LeadTime,Fold,CrossingRate_before_fix,SelectedMinSamplesLeaf
0.7633095900961349,0.9706487971552067,0.22175898794142976,0.4435179758828595,0.8010752688172043,2.3112519615531966,0.896505376344086,2.9436498219640237,0.9543010752688172,3.560042216305502,QR,swh,24h,1,0.0013440860215053765,
0.8641801075268818,1.0703425614842808,0.24274010028949544,0.4854802005789909,0.8051075268817204,2.320376344086022,0.9206989247311828,2.9741532258064516,0.9744623655913979,3.517029569892473,QRF,swh,24h,1,,40.0
0.5417780036585226,0.7304327711382254,0.16152433193437554,0.3230486638687511,0.8125,1.550811516678643,0.9077380952380952,2.01571959008948,0.9494047619047619,2.3835812856441607,QR,swh,24h,2,0.002976190476190476,
0.5301041666666667,0.7206050078794571,0.16306404532967037,0.32612809065934073,0.8526785714285714,1.819672619047619,0.9122023809523809,2.2809077380952383,0.9345238095238095,2.639404761904762,QRF,swh,24h,2,,20.0
0.5026514030472314,0.6362325105846948,0.14649761527767763,0.29299523055535526,0.7432795698924731,1.3516285426148993,0.8870967741935484,1.7659967242489027,0.9408602150537635,2.0912819326892937,QR,swh,24h,3,0.026881720430107527,
0.48951612903225805,0.6080247412906036,0.14290609491315137,0.28581218982630274,0.8158602150537635,1.5639381720430108,0.8924731182795699,1.96877688172043,0.9637096774193549,2.4458198924731183,QRF,swh,24h,3,,40.0
0.33246808235353575,0.4236488666902111,0.1001871520840289,0.2003743041680578,0.8055555555555556,1.1009428821207263,0.9125,1.4455846306717373,0.9444444444444444,1.7640269034318916,QR,swh,24h,4,0.041666666666666664,
0.37380555555555556,0.47243400479737785,0.11044738247863248,0.22089476495726496,0.7375,1.0015277777777778,0.8527777777777777,1.316138888888889,0.9,1.6400277777777776,QRF,swh,24h,4,,20.0
0.31518699433169517,0.41266255621463427,0.09384420544972771,0.18768841089945543,0.782258064516129,0.9869974184234361,0.8938172043010753,1.2734405394708848,0.9637096774193549,1.5738702772735598,QR,swh,24h,5,0.06989247311827956,
0.3766397849462366,0.4598664485887554,0.11179593155500414,0.22359186311000828,0.6370967741935484,1.0141666666666667,0.8118279569892473,1.3328091397849462,0.928763440860215,1.6271370967741934,QRF,swh,24h,5,,40.0
0.23328066667436823,0.30728856125186954,0.07211028447336382,0.14422056894672763,0.8160919540229885,0.8650342165683548,0.8908045977011494,1.1310550006681686,0.9497126436781609,1.4295833834941996,QR,swh,24h,6,0.1724137931034483,
0.26044540229885055,0.3315448427567841,0.07892324270557029,0.15784648541114057,0.7270114942528736,0.8500718390804597,0.8419540229885057,1.065014367816092,0.896551724137931,1.2560344827586207,QRF,swh,24h,6,,40.0
0.8708549817099049,1.0732683791849587,0.24705476218440497,0.49410952436880995,0.853494623655914,2.759644706127849,0.9771505376344086,3.6112516310205733,0.9959677419354839,4.243484055291696,QR,swh,48h,1,0.005376344086021506,
1.2393010752688172,1.5295382851015524,0.351794432382134,0.703588864764268,0.6532258064516129,2.6076612903225804,0.8360215053763441,3.4461021505376346,0.9583333333333334,4.112137096774194,QRF,swh,48h,1,,40.0
0.58171976785082,0.763649465076279,0.17342937579797393,0.34685875159594787,0.9002976190476191,2.029134976426785,0.9434523809523809,2.589931398337529,0.9598214285714286,2.9697944980335413,QR,swh,48h,2,0.0,
0.7770535714285713,0.9659377383070372,0.21526302083333335,0.4305260416666667,0.8407738095238095,2.2179315476190475,0.9151785714285714,2.8759970238095236,0.9627976190476191,3.324002976190477,QRF,swh,48h,2,,20.0
0.6629405904944348,0.8342700371865841,0.1892127006586866,0.3784254013173732,0.8118279569892473,1.7483390656241444,0.8763440860215054,2.2178185470008285,0.9314516129032258,2.567555460153091,QR,swh,48h,3,0.0,
0.8534139784946237,1.0888888980323312,0.2462278742762614,0.4924557485525228,0.6532258064516129,1.7080376344086021,0.8252688172043011,2.1863978494623657,0.8709677419354839,2.4977419354838712,QRF,swh,48h,3,,20.0
0.4354248992979554,0.5432576637325145,0.1284863425513153,0.2569726851026306,0.8347222222222223,1.5029259288822348,0.9180555555555555,1.9079308117602927,0.9583333333333334,2.308277695852233,QR,swh,48h,4,0.004166666666666667,
