timestamp;alarm status;wind speed [m/s];reference power [kW];temperature [C];power [kW];P10 limit [kW]
2003-04-11 15:10:00;0.0;4.163342612914104;73.85818537869267;-1.2;84.0;51.854709602625896
2003-04-11 15:20:00;0.0;3.452951305949944;32.0;-1.3;31.0;22.0
2003-04-11 15:30:00;2.0;2.2342626097323173;32.0;-1.3;0.0;22.0
2003-04-11 15:40:00;2.0;2.2337149627688433;32.0;-1.1;0.0;22.0
2003-04-11 15:50:00;2.0;2.3349614014838873;32.0;-1.0;0.0;22.0
2003-04-11 16:00:00;2.0;2.3343897025196187;32.0;-0.8;0.0;22.0
2003-04-11 16:10:00;2.0;2.53706963359567;32.0;-0.7;0.0;22.0
2003-04-11 16:20:00;2.0;2.53706963359567;32.0;-0.7;0.0;22.0
2003-04-11 16:30:00;2.0;2.1308778184372943;32.0;-0.6;0.0;22.0
2003-04-11 16:40:00;2.0;2.6379070988479842;32.0;-0.5;0.0;22.0
2003-04-11 16:50:00;2.0;2.434396070405987;32.0;-0.3;0.0;22.0
2003-04-11 17:00:00;2.0;2.8397818628494824;32.0;-0.2;0.0;22.0
2003-04-11 17:10:00;2.0;2.7380267482187364;32.0;-0.1;0.0;22.0
2003-04-11 17:20:00;0.0;5.576100790958916;223.84073043904363;0.1;215.0;162.65288818414217
2003-04-11 17:30:00;0.0;4.055840855737913;64.18007824088264;0.0;67.0;44.972500082405425
2003-04-11 17:40:00;0.0;4.867009026885496;137.07485510571794;0.0;112.0;98.23433496876467
2003-04-11 17:50:00;0.0;4.461424941311705;100.6937719393076;0.0;127.0;70.93779337906318
2003-04-11 18:00:00;0.0;4.6642169840986;118.89317872166446;0.0;115.0;84.49706836747981
2003-04-11 18:10:00;0.0;3.9544448343444656;56.786876832172354;0.0;48.0;39.70491202298025
2003-04-11 18:20:00;0.0;3.8530488129510174;50.85949147356406;0.0;40.0;35.47106533826005
2003-04-11 18:30:00;0.0;4.055840855737913;64.18007824088264;0.0;50.0;44.972500082405425
2003-04-11 18:40:00;0.0;3.3460687059837784;32.0;0.0;22.0;22.0
2003-04-11 18:50:00;0.0;3.447464727377226;32.0;0.0;23.0;22.0
2003-04-11 19:00:00;0.0;3.9554104518260647;56.84332467740128;-0.2;66.0;39.74523191242949
2003-04-11 19:10:00;0.0;4.056831232642118;64.26923933031483;-0.2;66.0;45.03590352377943
2003-04-11 19:20:00;0.0;4.158252013458171;73.39989178215684;-0.2;77.0;51.528811933978204
2003-04-11 19:30:00;0.0;4.564492632011226;109.95221697412987;-0.3;103.0;77.74167504712035
2003-04-11 19:40:00;0.0;5.072278221997015;157.8858453364962;-0.4;135.0;113.91438400237216
2003-04-11 19:50:00;0.0;5.579506044196717;224.32638977588158;-0.4;294.0;162.98122125693402
2003-04-11 20:00:00;0.0;6.1881794308363585;315.6940021891328;-0.4;290.0;228.86602708993033
2003-04-11 20:10:00;0.0;6.085990176014968;298.5778622710703;-0.3;297.0;214.9997871563101
2003-04-11 20:20:00;0.0;6.086733866396418;298.7024263325939;-0.4;199.0;215.10069981374696
2003-04-11 20:30:00;0.0;5.985288301956478;282.1993080119155;-0.4;164.0;202.10657443059074
